time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_probability_max,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2019-05-24,20.9,16.2,17.9,,4.4,22.6,347
2019-05-25,18.1,10.0,14.1,,0.0,23.8,291
2019-05-26,20.2,11.5,15.0,,0.0,12.9,112
2019-05-27,24.1,12.0,16.9,,0.0,10.2,18
2019-05-28,25.3,11.9,18.1,,0.0,20.4,335
2019-05-29,24.9,14.6,18.7,,1.9,15.6,253
2019-05-30,25.7,16.5,20.2,,0.4,21.3,7
2019-05-31,26.0,18.9,21.5,,0.3,25.6,326
2019-06-01,23.8,17.1,19.6,,7.4,14.7,294
2019-06-02,21.9,15.3,18.2,,3.6,14.1,213
2019-06-03,19.1,14.8,16.6,,11.3,11.0,141
2019-06-04,16.6,11.5,14.3,,1.3,22.1,184
2019-06-05,17.3,11.0,13.5,,0.7,16.1,122
2019-06-06,18.7,11.4,14.4,,0.0,15.6,88
2019-06-07,21.5,9.5,15.0,,0.0,16.5,5
2019-06-08,21.1,9.6,14.6,,0.0,15.2,258
2019-06-09,20.1,8.7,13.3,,0.0,17.7,102
2019-06-10,20.3,10.0,14.3,,0.0,13.1,84
2019-06-11,22.8,11.5,16.1,,0.0,9.4,73
2019-06-12,23.8,12.5,17.4,,0.0,13.5,47
2019-06-13,25.1,12.8,18.3,,0.0,14.3,8
2019-06-14,25.2,13.9,19.5,,0.0,10.5,44
2019-06-15,24.6,14.1,19.5,,0.0,10.2,56
2019-06-16,23.9,15.0,18.9,,0.0,11.8,62
2019-06-17,22.2,12.2,16.3,,0.0,16.6,110
2019-06-18,22.8,11.9,16.4,,0.0,10.0,60
2019-06-19,23.9,11.7,17.2,,0.0,19.6,335
2019-06-20,21.6,12.8,16.4,,0.7,14.3,203
2019-06-21,21.4,14.7,16.8,,0.4,17.9,125
2019-06-22,22.7,13.9,17.0,,0.0,12.5,95
2019-06-23,23.4,12.8,17.3,,0.0,15.0,346
2019-06-24,23.3,12.7,17.3,,0.0,16.8,325
2019-06-25,25.0,14.4,18.7,,0.0,27.0,335
2019-06-26,26.2,16.0,19.9,,0.2,22.3,326
2019-06-27,24.2,16.2,19.1,,0.9,15.1,171
2019-06-28,25.1,16.0,19.3,,0.1,18.7,70
2019-06-29,26.2,15.1,19.9,,0.0,12.5,6
2019-06-30,25.5,15.5,19.7,,0.0,21.7,335
2019-07-01,25.6,15.1,19.5,,0.0,22.6,320
2019-07-02,25.3,13.8,19.1,,0.0,21.9,322
2019-07-03,25.9,16.2,20.1,,0.0,28.5,325
2019-07-04,19.4,15.1,16.6,,51.9,17.3,117
2019-07-05,15.0,11.9,13.7,,42.7,19.6,167
2019-07-06,12.5,6.6,9.8,,0.2,13.6,202
2019-07-07,12.8,4.8,8.3,,0.0,18.4,141
2019-07-08,16.5,5.8,10.3,,0.0,17.2,90
2019-07-09,17.8,8.4,11.9,,0.0,11.2,91
